Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Code Value
Latin America and the Caribbean,South America,Bolivia,4.3,4.6,5.0,2.0,4.0,7.0,5.0,8.0,2.0,8.5,2.5,2.0,4.0,3.5,2.0,6.0,4.5,4.88,5.0,4.0,5.0,6.0,3.5,5.0,5.0,4.5,5.0,5.0,6.0,4.5,BOL
Africa,East Africa,Kenya,6.95,6.65,7.5,7.0,7.5,6.0,7.0,7.0,7.5,6.0,6.5,4.5,7.25,7.0,7.5,8.0,6.5,5.21,5.0,4.5,7.0,6.0,5.5,4.5,6.0,6.0,5.0,3.0,3.5,6.5,KEN
Asia,Southern Asia,Afghanistan,7.08,6.9,8.5,8.0,8.5,6.0,4.0,8.0,9.5,1.0,7.0,8.5,7.25,7.5,8.5,9.0,4.0,2.67,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.5,2.0,2.0,2.0,AFG
Asia,South-Eastern Asia,Indonesia,6.38,6.0,6.5,6.0,4.5,7.5,8.0,7.5,3.5,4.0,6.5,6.0,6.75,6.0,7.5,7.5,6.0,4.33,4.0,3.5,5.5,5.0,3.5,4.0,4.0,4.5,4.5,5.0,4.5,4.0,IDN
Africa,West Africa,Gambia,4.83,5.15,7.0,5.0,2.5,7.0,3.5,4.5,4.5,6.5,7.0,4.0,4.5,1.0,6.5,6.5,4.0,5.0,5.0,5.0,4.5,5.0,5.0,5.5,6.5,5.5,5.5,2.5,3.5,6.5,GMB
Africa,Southern Africa,Namibia,4.33,3.9,3.5,2.5,3.0,6.5,4.5,4.0,3.0,4.5,3.0,4.5,4.75,3.0,5.0,5.0,6.0,4.96,5.0,5.0,7.0,6.5,4.5,4.5,3.5,4.5,5.0,4.0,4.0,6.0,NAM
Latin America and the Caribbean,Central America,Mexico,7.56,8.0,7.5,8.5,8.0,7.5,7.0,7.5,8.0,9.0,8.0,9.0,7.13,9.0,9.0,7.0,3.5,4.46,3.0,4.0,7.0,6.0,4.0,5.0,3.0,4.0,5.0,3.5,4.0,5.0,MEX
Africa,Central Africa,Sao Tome and Principe,1.78,1.8,1.5,1.5,2.0,2.5,2.0,1.0,2.0,2.0,2.5,1.0,1.75,1.0,2.0,2.0,2.0,4.92,6.0,5.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,STP
Africa,North Africa,Tunisia,3.79,4.2,4.0,7.0,5.0,3.5,3.5,5.0,2.0,3.0,5.0,4.0,3.38,1.0,4.0,5.5,3.0,4.83,4.5,5.0,5.0,6.5,4.5,4.5,5.5,5.5,4.0,4.5,3.0,5.5,TUN
Africa,North Africa,Algeria,4.51,4.65,4.5,6.5,5.0,2.0,4.5,6.5,2.0,3.5,6.5,5.5,4.38,1.0,5.0,7.0,4.5,4.63,4.5,4.0,5.0,6.0,4.0,6.0,6.5,4.5,4.5,3.0,4.0,3.5,DZA
Africa,North Africa,Morocco,4.79,4.95,5.5,6.5,3.0,3.0,4.5,3.0,3.0,6.0,9.0,6.0,4.63,1.0,6.5,7.0,4.0,4.63,4.5,3.5,6.0,6.0,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.5,MAR
Africa,Southern Africa,Seychelles,3.68,3.6,4.0,3.5,3.5,4.0,4.0,1.0,7.5,3.0,3.0,2.5,3.75,2.0,4.5,4.5,4.0,4.58,5.0,5.0,6.0,5.5,6.0,4.0,4.5,3.0,3.0,4.0,5.0,4.0,SYC
Africa,East Africa,Djibouti,3.99,3.6,6.0,7.0,6.0,2.0,4.0,2.0,2.5,1.5,3.5,1.5,4.38,1.5,5.0,5.0,6.0,4.5,4.5,3.0,6.5,5.5,4.0,4.0,6.0,5.0,5.5,3.0,4.0,3.0,DJI
Asia,Southern Asia,India,5.53,6.3,7.0,6.0,5.5,5.5,8.0,7.0,6.5,3.5,7.5,6.5,4.75,3.5,6.0,6.0,3.5,5.25,4.0,5.5,7.5,4.5,5.0,5.5,6.5,6.0,5.0,3.5,5.0,5.0,IND
Africa,Central Africa,Angola,5.29,5.2,6.0,4.0,6.0,7.0,4.5,8.5,3.0,6.0,4.5,2.5,5.38,3.0,5.5,8.0,5.0,4.42,5.0,4.5,5.0,5.0,3.5,4.5,6.0,5.0,4.0,4.0,3.5,3.0,AGO
Asia,Western Asia,Saudi Arabia,6.01,6.9,8.5,7.5,8.0,5.0,7.0,7.0,6.5,5.5,6.5,7.5,5.13,3.0,6.5,8.0,3.0,4.29,3.0,3.5,5.0,4.5,3.0,4.5,5.0,5.5,5.0,4.5,5.0,3.0,SAU
Africa,West Africa,Côte d'Ivoire,6.15,6.05,6.5,6.5,7.0,6.0,6.5,7.5,3.5,5.0,6.0,6.0,6.25,3.0,7.0,7.0,8.0,4.42,4.5,4.0,6.0,4.5,5.5,5.0,4.0,5.0,3.5,3.5,3.0,4.5,CIV
Europe,Western Europe,Switzerland,4.34,4.3,5.0,3.0,6.5,1.5,3.0,7.0,2.5,5.5,5.5,3.5,4.38,4.5,4.0,1.5,7.5,7.13,9.0,6.5,7.5,6.5,7.0,7.5,8.5,5.0,6.0,8.0,6.0,8.0,CHE
Asia,Western Asia,Yemen,6.13,5.0,8.5,7.5,9.0,2.5,4.0,7.0,2.5,2.0,3.0,4.0,7.25,8.0,7.0,6.0,8.0,2.0,2.0,2.0,3.0,2.0,1.5,2.0,2.0,2.0,2.5,1.0,2.0,2.0,YEM
Asia,Central Asia and the Caucasus,Tajikistan,5.61,5.1,6.5,6.0,4.0,2.5,3.5,7.0,8.5,2.0,6.0,5.0,6.13,5.5,5.0,9.0,5.0,2.67,3.0,2.0,3.0,2.0,3.0,3.0,2.5,3.5,3.0,2.0,3.0,2.0,TJK
Africa,Southern Africa,Zambia,4.93,4.6,5.0,3.0,4.0,8.0,4.5,5.5,4.0,3.0,5.0,4.0,5.25,3.0,5.0,6.0,7.0,4.33,4.0,3.0,5.0,6.5,5.0,4.0,3.5,5.0,5.0,3.0,3.0,5.0,ZMB
Asia,Western Asia,Syria,6.84,6.05,8.5,8.5,9.0,1.5,3.5,7.0,3.0,2.5,7.5,9.5,7.63,4.5,9.0,10.0,7.0,1.88,2.0,1.0,3.0,2.0,1.5,2.0,1.5,2.0,2.5,2.0,2.0,1.0,SYR
Asia,Central Asia and the Caucasus,Turkmenistan,4.61,4.35,8.5,5.0,2.0,2.0,3.0,7.0,6.5,1.5,4.0,4.0,4.88,3.0,3.5,8.5,4.5,2.17,2.0,1.5,1.5,2.5,2.0,2.0,2.0,3.5,2.0,2.0,2.0,3.0,TKM
Europe,Western Europe,Ireland,4.9,4.55,4.5,4.0,4.0,2.0,4.0,5.0,5.5,6.5,5.0,5.0,5.25,6.0,5.5,3.0,6.5,7.38,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,5.5,7.0,IRL
Asia,Eastern Asia,"Korea, DPR",4.78,5.3,8.0,6.5,9.0,1.0,3.0,7.0,3.5,2.0,6.0,7.0,4.25,1.0,2.0,10.0,4.0,1.96,3.5,1.0,2.0,2.0,1.5,1.5,6.0,1.0,1.5,1.0,1.0,1.5,PRK
Africa,Southern Africa,Malawi,3.83,4.15,4.5,3.5,4.5,4.0,6.0,4.0,4.5,2.5,6.0,2.0,3.5,2.0,3.0,4.0,5.0,4.29,5.0,4.5,4.5,5.5,4.0,4.0,3.0,6.0,4.0,2.0,3.5,5.5,MWI
Asia,South-Eastern Asia,Myanmar,7.59,7.05,6.5,7.5,8.0,7.0,8.0,6.5,9.5,3.5,4.5,9.5,8.13,9.0,7.5,8.5,7.5,3.42,3.0,3.0,5.0,4.5,3.5,4.0,3.0,3.0,3.0,2.0,3.0,4.0,MMR
Asia,Southern Asia,Nepal,6.16,5.7,7.0,6.5,6.0,7.0,7.0,6.5,4.5,3.5,5.0,4.0,6.63,4.5,6.5,8.5,7.0,3.71,2.5,2.0,4.5,3.5,3.0,4.5,4.0,3.0,4.5,4.5,3.5,5.0,NPL
Africa,East Africa,Tanzania,6.15,6.55,6.5,6.5,5.5,7.5,8.0,6.5,7.5,5.0,7.0,5.5,5.75,3.0,7.0,7.0,6.0,4.04,5.5,2.0,4.0,5.5,5.0,4.0,4.5,5.5,5.0,3.0,3.0,1.5,TZA
Latin America and the Caribbean,South America,Ecuador,6.25,6.0,6.0,5.5,7.5,6.0,6.0,6.5,6.0,7.0,4.0,5.5,6.5,6.5,5.5,6.5,7.5,5.71,5.0,5.5,6.0,6.5,5.5,6.0,4.5,7.0,5.5,5.0,5.0,7.0,ECU
Africa,North Africa,Egypt,5.16,4.95,5.5,5.5,7.0,1.0,5.0,4.0,5.5,2.0,7.0,7.0,5.38,3.0,5.5,8.0,5.0,4.04,3.5,3.0,4.5,4.5,3.5,5.0,6.0,6.0,4.5,3.0,2.5,2.5,EGY
Latin America and the Caribbean,Central America,Costa Rica,4.99,4.85,5.0,5.0,5.0,5.0,6.0,6.5,1.0,7.0,4.5,3.5,5.13,6.5,6.0,1.5,6.5,5.5,7.0,6.5,6.0,6.5,5.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5,CRI
Africa,West Africa,Togo,5.33,4.9,6.0,3.5,4.0,5.0,6.0,6.0,3.0,5.0,6.5,4.0,5.75,1.0,7.0,7.5,7.5,4.0,3.0,3.0,5.5,4.5,3.5,4.0,4.0,3.0,4.5,4.5,4.0,4.5,TGO
Asia,Western Asia,Bahrain,4.83,5.65,7.5,5.5,5.5,4.0,6.0,6.5,5.0,4.0,6.0,6.5,4.0,1.0,6.0,4.0,5.0,5.54,6.0,5.0,7.0,5.5,5.0,5.0,6.5,5.5,6.0,5.5,5.5,4.0,BHR
Africa,East Africa,Uganda,6.14,5.65,7.0,5.0,6.5,6.0,6.5,7.0,5.0,3.5,6.0,4.0,6.63,5.0,7.0,7.5,7.0,3.96,5.0,2.0,5.0,5.0,4.0,4.0,5.5,3.0,3.5,2.0,4.0,4.5,UGA
